Tanggal,Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta)
29/01/2020 ,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2020 ,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020 ,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020 ,1,0,0,2,3,2,1,0,0,2,3,2
04/03/2020 ,1,0,0,2,3,2,0,0,0,0,0,0
05/03/2020 ,3,0,0,4,7,4,2,0,0,2,4,2
06/03/2020 ,3,0,0,4,7,4,0,0,0,0,0,0
07/03/2020 ,3,0,0,4,7,4,0,0,0,0,0,0
08/03/2020 ,3,0,0,4,7,4,0,0,0,0,0,0
09/03/2020 ,3,0,0,31,34,31,0,0,0,27,27,27
10/03/2020 ,3,0,0,31,34,31,0,0,0,0,0,0
11/03/2020 ,3,0,0,33,36,33,0,0,0,2,2,2
12/03/2020 ,5,0,0,57,62,57,2,0,0,24,26,24
13/03/2020 ,7,0,0,65,72,65,2,0,0,8,10,8
14/03/2020 ,9,0,0,70,79,70,2,0,0,5,7,5
15/03/2020 ,11,0,0,84,95,84,2,0,0,14,16,14
16/03/2020 ,12,0,7,78,97,85,1,0,7,-6,2,1
17/03/2020 ,12,0,27,83,122,110,0,0,20,5,25,25
18/03/2020 ,15,12,42,91,160,133,3,12,15,8,38,23
19/03/2020 ,19,13,57,121,210,178,4,1,15,30,50,45
20/03/2020 ,20,13,66,125,224,191,1,0,9,4,14,13
21/03/2020 ,23,17,71,157,268,228,3,4,5,32,44,37
22/03/2020 ,29,21,77,177,304,254,6,4,6,20,36,26
23/03/2020 ,29,22,79,225,355,304,0,1,2,48,51,50
24/03/2020 ,34,23,109,260,426,369,5,1,30,35,71,65
25/03/2020 ,43,27,112,290,472,402,9,4,3,30,46,33
26/03/2020 ,49,29,113,324,515,437,6,2,1,34,43,35
27/03/2020 ,57,31,132,346,566,478,8,2,19,22,51,41
28/03/2020 ,62,43,134,364,603,498,5,12,2,18,37,20
29/03/2020 ,67,48,151,435,701,586,5,5,17,71,98,88
30/03/2020 ,78,49,151,449,727,600,11,1,0,14,26,14
31/03/2020 ,84,49,157,451,741,608,6,0,6,2,14,8
01/04/2020 ,90,51,176,499,816,675,6,2,19,48,75,67
02/04/2020 ,95,54,195,565,909,760,5,3,19,66,93,85
03/04/2020 ,98,56,209,627,990,836,3,2,14,62,81,76
04/04/2020 ,99,58,223,691,"1,071",914,1,2,14,64,81,78
05/04/2020 ,123,64,279,685,"1,151",964,24,6,56,-6,80,50
06/04/2020 ,131,68,317,783,"1,299","1,100",8,4,38,98,148,136
07/04/2020 ,141,69,338,895,"1,443","1,233",10,1,21,112,144,133
08/04/2020 ,144,75,357,976,"1,552","1,333",3,6,19,81,109,100
09/04/2020 ,155,82,405,"1,077","1,719","1,482",11,7,48,101,167,149
10/04/2020 ,156,82,433,"1,139","1,810","1,572",1,0,28,62,91,90
11/04/2020 ,168,142,441,"1,152","1,903","1,593",12,60,8,13,93,21
12/04/2020 ,195,142,468,"1,277","2,082","1,745",27,0,27,125,179,152
13/04/2020 ,209,142,521,"1,370","2,242","1,891",14,0,53,93,160,146
14/04/2020 ,243,163,558,"1,385","2,349","1,943",34,21,37,15,107,52
15/04/2020 ,246,164,613,"1,424","2,447","2,037",3,1,55,39,98,94
16/04/2020 ,248,202,619,"1,601","2,670","2,220",2,38,6,177,223,183
17/04/2020 ,250,203,643,"1,727","2,823","2,370",2,1,24,126,153,150
18/04/2020 ,257,206,670,"1,769","2,902","2,439",7,3,27,42,79,69
19/04/2020 ,292,207,695,"1,839","3,033","2,534",35,1,25,70,131,95
20/04/2020 ,297,237,752,"1,826","3,112","2,578",5,30,57,-13,79,44
21/04/2020 ,305,286,753,"1,935","3,279","2,688",8,49,1,109,167,110
22/04/2020 ,308,291,815,"1,985","3,399","2,800",3,5,62,50,120,112
23/04/2020 ,316,292,888,"2,010","3,506","2,898",8,1,73,25,107,98
24/04/2020 ,331,327,959,"1,988","3,605","2,947",15,35,71,-22,99,49
25/04/2020 ,350,334,"1,050","1,947","3,681","2,997",19,7,91,-41,76,50
26/04/2020 ,357,338,"1,099","1,952","3,746","3,051",7,4,49,5,65,54
27/04/2020 ,375,338,"1,169","1,950","3,832","3,119",18,0,70,-2,86,68
28/04/2020 ,379,341,"1,206","2,024","3,950","3,230",4,3,37,74,118,111
29/04/2020 ,381,412,"1,238","2,002","4,033","3,240",2,71,32,-22,83,10
30/04/2020 ,381,412,"1,272","2,073","4,138","3,345",0,0,34,71,105,105
01/05/2020 ,393,427,"1,312","2,151","4,283","3,463",12,15,40,78,145,118
02/05/2020 ,400,562,"1,304","2,089","4,355","3,393",7,135,-8,-62,72,-70
03/05/2020 ,410,622,"1,323","2,062","4,417","3,385",10,60,19,-27,62,-8
04/05/2020 ,412,650,"1,330","2,080","4,472","3,410",2,28,7,18,55,25
05/05/2020 ,414,711,"1,370","2,146","4,641","3,516",2,61,40,66,169,106
06/05/2020 ,420,713,"1,381","2,195","4,709","3,576",6,2,11,49,68,60
07/05/2020 ,430,718,"1,431","2,196","4,775","3,627",10,5,50,1,66,51
08/05/2020 ,431,763,"1,426","2,281","4,901","3,707",1,45,-5,85,126,80
09/05/2020 ,437,767,"1,442","2,312","4,958","3,754",6,4,16,31,57,47
10/05/2020 ,444,803,"1,533","2,360","5,140","3,893",7,36,91,48,182,139
11/05/2020 ,453,836,"1,648","2,258","5,195","3,906",9,33,115,-102,55,13
12/05/2020 ,457,"1,262","1,741","1,843","5,303","3,584",4,426,93,-415,108,-322
13/05/2020 ,461,"1,277","1,866","1,833","5,437","3,699",4,15,125,-10,134,115
14/05/2020 ,466,"1,279","1,995","1,877","5,617","3,872",5,2,129,44,180,173
15/05/2020 ,474,"1,286","2,019","1,900","5,679","3,919",8,7,24,23,62,47
16/05/2020 ,475,"1,292","2,120","1,908","5,795","4,028",1,6,101,8,116,109
17/05/2020 ,478,"1,295","2,217","1,932","5,922","4,149",3,3,97,24,127,121
18/05/2020 ,483,"1,301","2,266","1,946","5,996","4,212",5,6,49,14,74,63
19/05/2020 ,487,"1,417","2,213","1,936","6,053","4,149",4,116,-53,-10,57,-63
20/05/2020 ,493,"1,425","2,263","1,969","6,150","4,232",6,8,50,33,97,83
21/05/2020 ,498,"1,536","2,231","1,955","6,220","4,186",5,111,-32,-14,70,-46
22/05/2020 ,501,"1,558","2,282","1,975","6,316","4,257",3,22,51,20,96,71
23/05/2020 ,504,"1,587","2,346","2,006","6,443","4,352",3,29,64,31,127,95
24/05/2020 ,505,"1,594","2,431","2,031","6,561","4,462",1,7,85,25,118,110
25/05/2020 ,506,"1,648","2,430","2,044","6,628","4,474",1,54,-1,13,67,12
26/05/2020 ,508,"1,678","2,459","2,044","6,689","4,503",2,30,29,0,61,29
27/05/2020 ,510,"1,698","2,584","2,034","6,826","4,618",2,20,125,-10,137,115
28/05/2020 ,514,"1,719","2,641","2,055","6,929","4,696",4,21,57,21,103,78
29/05/2020 ,517,"1,807","2,722","2,007","7,053","4,729",3,88,81,-48,124,33
30/05/2020 ,519,"2,003","2,781","1,848","7,151","4,629",2,196,59,-159,98,-100
31/05/2020 ,520,"2,102","2,827","1,823","7,272","4,650",1,99,46,-25,121,21
01/06/2020 ,521,"2,246","2,822","1,794","7,383","4,616",1,144,-5,-29,111,-34
02/06/2020 ,525,"2,405","2,786","1,743","7,459","4,529",4,159,-36,-51,76,-87
03/06/2020 ,529,"2,534","2,777","1,699","7,539","4,476",4,129,-9,-44,80,-53
04/06/2020 ,530,"2,607","2,793","1,670","7,600","4,463",1,73,16,-29,61,-13
05/06/2020 ,532,"2,751","2,768","1,633","7,684","4,401",2,144,-25,-37,84,-62
06/06/2020 ,535,"2,840","2,776","1,635","7,786","4,411",3,89,8,2,102,10
07/06/2020 ,537,"3,170","2,794","1,445","7,946","4,239",2,330,18,-190,160,-172
08/06/2020 ,538,"3,205","2,846","1,448","8,037","4,294",1,35,52,3,91,55
09/06/2020 ,547,"3,369","2,918","1,442","8,276","4,360",9,164,72,-6,239,66
10/06/2020 ,551,"3,517","2,928","1,427","8,423","4,355",4,148,10,-15,147,-5
11/06/2020 ,555,"3,664","2,887","1,446","8,552","4,333",4,147,-41,19,129,-22
12/06/2020 ,561,"3,780","2,863","1,424","8,628","4,287",6,116,-24,-22,76,-46
13/06/2020 ,564,"3,840","2,925","1,419","8,748","4,344",3,60,62,-5,120,57
14/06/2020 ,571,"4,091","2,833","1,368","8,863","4,201",7,251,-92,-51,115,-143
15/06/2020 ,580,"4,198","2,800","1,390","8,968","4,190",9,107,-33,22,105,-11
16/06/2020 ,583,"4,329","2,764","1,416","9,092","4,180",3,131,-36,26,124,-10
17/06/2020 ,588,"4,444","2,775","1,402","9,209","4,177",5,115,11,-14,117,-3
18/06/2020 ,594,"4,592","2,822","1,377","9,385","4,199",6,148,47,-25,176,22
19/06/2020 ,599,"4,682","2,862","1,382","9,525","4,244",5,90,40,5,140,45
20/06/2020 ,603,"4,821","2,939","1,340","9,703","4,279",4,139,77,-42,178,35
21/06/2020 ,615,"5,054","2,874","1,287","9,830","4,161",12,233,-65,-53,127,-118
22/06/2020 ,618,"5,128","2,901","1,310","9,957","4,211",3,74,27,23,127,50
23/06/2020 ,619,"5,228","2,957","1,319","10,123","4,276",1,100,56,9,166,65
24/06/2020 ,628,"5,322","2,978","1,349","10,277","4,327",9,94,21,30,154,51
25/06/2020 ,631,"5,435","3,068","1,338","10,472","4,406",3,113,90,-11,195,79
26/06/2020 ,632,"5,542","3,136","1,330","10,640","4,466",1,107,68,-8,168,60
27/06/2020 ,632,"5,610","3,256","1,355","10,853","4,611",0,68,120,25,213,145
28/06/2020 ,635,"5,865","3,163","1,322","10,985","4,485",3,255,-93,-33,132,-126
29/06/2020 ,636,"6,118","3,299","1,027","11,080","4,326",1,253,136,-295,95,-159
30/06/2020 ,641,"6,512","3,172",951,"11,276","4,123",5,394,-127,-76,196,-203
01/07/2020 ,644,"6,680","3,269",889,"11,482","4,158",3,168,97,-62,206,35
02/07/2020 ,646,"6,871","3,356",804,"11,677","4,160",2,191,87,-85,195,2
03/07/2020 ,648,"7,109","3,331",736,"11,824","4,067",2,238,-25,-68,147,-93
04/07/2020 ,650,"7,377","3,366",646,"12,039","4,012",2,268,35,-90,215,-55
05/07/2020 ,658,"7,663","3,390",584,"12,295","3,974",8,286,24,-62,256,-38
06/07/2020 ,658,"8,033","3,340",495,"12,526","3,835",0,370,-50,-89,231,-139
07/07/2020 ,664,"8,277","3,379",405,"12,725","3,784",6,244,39,-90,199,-51
08/07/2020 ,667,"8,429","3,556",417,"13,069","3,973",3,152,177,12,344,189
09/07/2020 ,677,"8,647","3,584",451,"13,359","4,035",10,218,28,34,290,62
10/07/2020 ,684,"8,825","3,613",476,"13,598","4,089",7,178,29,25,239,54
11/07/2020 ,690,"9,040","3,732",495,"13,957","4,227",6,215,119,19,359,138
12/07/2020 ,702,"9,200","3,905",554,"14,361","4,459",12,160,173,59,404,232
13/07/2020 ,710,"9,408","3,924",597,"14,639","4,521",8,208,19,43,278,62
14/07/2020 ,714,"9,528","4,053",619,"14,914","4,672",4,120,129,22,275,151
15/07/2020 ,720,"9,721","4,041",691,"15,173","4,732",6,193,-12,72,259,60
16/07/2020 ,722,"9,857","4,110",777,"15,466","4,887",2,136,69,86,293,155
17/07/2020 ,731,"9,994","4,156",826,"15,707","4,982",9,137,46,49,241,95
18/07/2020 ,740,"10,117","4,289",892,"16,038","5,181",9,123,133,66,331,199
19/07/2020 ,748,"10,444","4,236",923,"16,351","5,159",8,327,-53,31,313,-22
20/07/2020 ,749,"10,602","4,335","1,026","16,712","5,361",1,158,99,103,361,202
21/07/2020 ,758,"10,864","4,458","1,073","17,153","5,531",9,262,123,47,441,170
22/07/2020 ,766,"11,187","4,383","1,193","17,529","5,576",8,323,-75,120,376,45
23/07/2020 ,767,"11,302","4,675","1,201","17,945","5,876",1,115,292,8,416,300
24/07/2020 ,768,"11,585","4,577","1,300","18,230","5,877",1,283,-98,99,285,1
25/07/2020 ,769,"11,715","4,729","1,410","18,623","6,139",1,130,152,110,393,262
26/07/2020 ,779,"11,889","4,842","1,491","19,001","6,333",10,174,113,81,378,194
27/07/2020 ,782,"11,996","4,993","1,702","19,473","6,695",3,107,151,211,472,362
28/07/2020 ,795,"12,373","4,869","1,848","19,885","6,717",13,377,-124,146,412,22
29/07/2020 ,820,"12,613","5,093","1,944","20,470","7,037",25,240,224,96,585,320
30/07/2020 ,821,"12,801","5,098","2,049","20,769","7,147",1,188,5,105,299,110
31/07/2020 ,836,"13,208","4,974","2,183","21,201","7,157",15,407,-124,134,432,10
01/08/2020 ,852,"13,887","4,683","2,153","21,575","6,836",16,679,-291,-30,374,-321
02/08/2020 ,852,"14,027","4,916","2,159","21,954","7,075",0,140,233,6,379,239
03/08/2020 ,867,"14,165","5,084","2,327","22,443","7,411",15,138,168,168,489,336
04/08/2020 ,880,"14,381","5,216","2,432","22,909","7,648",13,216,132,105,466,237
05/08/2020 ,895,"14,760","5,128","2,483","23,266","7,611",15,379,-88,51,357,-37
06/08/2020 ,908,"15,006","5,397","2,552","23,863","7,949",13,246,269,69,597,338
07/08/2020 ,922,"15,201","5,803","2,595","24,521","8,398",14,195,406,43,658,449
08/08/2020 ,934,"15,710","6,110","2,488","25,242","8,598",12,509,307,-107,721,200
09/08/2020 ,939,"16,268","6,091","2,416","25,714","8,507",5,558,-19,-72,472,-91
10/08/2020 ,940,"16,446","6,252","2,555","26,193","8,807",1,178,161,139,479,300
11/08/2020 ,953,"16,927","6,236","2,548","26,664","8,784",13,481,-16,-7,471,-23
12/08/2020 ,968,"17,349","6,208","2,717","27,242","8,925",15,422,-28,169,578,141
13/08/2020 ,981,"17,838","6,330","2,714","27,863","9,044",13,489,122,-3,621,119
14/08/2020 ,985,"18,528","6,331","2,594","28,438","8,925",4,690,1,-120,575,-119
15/08/2020 ,991,"18,974","6,457","2,614","29,036","9,071",6,446,126,20,598,146
16/08/2020 ,995,"19,708","6,284","2,567","29,554","8,851",4,734,-173,-47,518,-220
17/08/2020 ,"1,011","19,916","6,514","2,651","30,092","9,165",16,208,230,84,538,314
18/08/2020 ,"1,028","20,505","6,602","2,462","30,597","9,064",17,589,88,-189,505,-101
19/08/2020 ,"1,046","21,069","6,488","2,559","31,162","9,047",18,564,-114,97,565,-17
20/08/2020 ,"1,061","21,795","6,357","2,544","31,757","8,901",15,726,-131,-15,595,-146
21/08/2020 ,"1,076","22,228","6,518","2,576","32,398","9,094",15,433,161,32,641,193
22/08/2020 ,"1,091","22,877","6,269","2,762","32,999","9,031",15,649,-249,186,601,-63
23/08/2020 ,"1,107","23,567","6,040","2,922","33,636","8,962",16,690,-229,160,637,-69
24/08/2020 ,"1,112","25,463","5,090","2,630","34,295","7,720",5,"1,896",-950,-292,659,"-1,242"
25/08/2020 ,"1,129","25,986","5,130","2,686","34,931","7,816",17,523,40,56,636,96
26/08/2020 ,"1,144","26,750","4,978","2,770","35,642","7,748",15,764,-152,84,711,-68
27/08/2020 ,"1,147","28,288","4,499","2,528","36,462","7,027",3,"1,538",-479,-242,820,-721
28/08/2020 ,"1,154","29,169","4,128","2,827","37,278","6,955",7,881,-371,299,816,-72
29/08/2020 ,"1,172","29,768","4,414","2,812","38,166","7,226",18,599,286,-15,888,271
30/08/2020 ,"1,186","30,134","4,945","3,015","39,280","7,960",14,366,531,203,"1,114",734
31/08/2020 ,"1,202","30,538","5,281","3,288","40,309","8,569",16,404,336,273,"1,029",609
01/09/2020 ,"1,219","31,267","5,423","3,341","41,250","8,764",17,729,142,53,941,195
02/09/2020 ,"1,237","31,741","5,757","3,568","42,303","9,325",18,474,334,227,"1,053",561
03/09/2020 ,"1,253","32,424","6,323","3,709","43,709","10,032",16,683,566,141,"1,406",707
04/09/2020 ,"1,260","33,260","6,257","3,827","44,604","10,084",7,836,-66,118,895,52
05/09/2020 ,"1,277","33,991","6,501","3,677","45,446","10,178",17,731,244,-150,842,94
06/09/2020 ,"1,289","34,738","6,582","4,082","46,691","10,664",12,747,81,405,"1,245",486
07/09/2020 ,"1,318","35,431","6,706","4,341","47,796","11,047",29,693,124,259,"1,105",383
08/09/2020 ,"1,330","36,451","6,598","4,432","48,811","11,030",12,"1,020",-108,91,"1,015",-17
09/09/2020 ,"1,347","37,245","6,691","4,554","49,837","11,245",17,794,93,122,"1,026",215
10/09/2020 ,"1,365","38,226","6,968","4,728","51,287","11,696",18,981,277,174,"1,450",451
11/09/2020 ,"1,382","39,115","7,143","4,681","52,321","11,824",17,889,175,-47,"1,034",128
12/09/2020 ,"1,404","40,183","7,490","4,684","53,761","12,174",22,"1,068",347,3,"1,440",350
13/09/2020 ,"1,410","41,014","7,791","4,649","54,864","12,440",6,831,301,-35,"1,103",266
14/09/2020 ,"1,440","42,325","7,530","4,631","55,926","12,161",30,"1,311",-261,-18,"1,062",-279
15/09/2020 ,"1,468","43,306","7,711","4,468","56,953","12,179",28,981,181,-163,"1,027",18
16/09/2020 ,"1,498","44,251","7,907","4,802","58,458","12,709",30,945,196,334,"1,505",530
17/09/2020 ,"1,513","45,207","8,013","4,739","59,472","12,752",15,956,106,-63,"1,014",43
18/09/2020 ,"1,535","46,235","8,450","4,655","60,875","13,105",22,"1,028",437,-84,"1,403",353
19/09/2020 ,"1,546","47,260","8,696","4,305","61,807","13,001",11,"1,025",246,-350,932,-104
20/09/2020 ,"1,561","49,209","8,297","3,819","62,886","12,116",15,"1,949",-399,-486,"1,079",-885
21/09/2020 ,"1,592","49,630","9,225","3,749","64,196","12,974",31,421,928,-70,"1,310",858
22/09/2020 ,"1,624","50,473","9,380","3,841","65,318","13,221",32,843,155,92,"1,122",247
23/09/2020 ,"1,650","51,578","9,611","3,666","66,505","13,277",26,"1,105",231,-175,"1,187",56
24/09/2020 ,"1,664","52,742","9,714","3,518","67,638","13,232",14,"1,164",103,-148,"1,133",-45
25/09/2020 ,"1,677","54,352","10,027","2,871","68,927","12,898",13,"1,610",313,-647,"1,289",-334
26/09/2020 ,"1,679","55,350","10,594","2,561","70,184","13,155",2,998,567,-310,"1,257",257
27/09/2020 ,"1,692","56,413","10,915","2,350","71,370","13,265",13,"1,063",321,-211,"1,186",110
28/09/2020 ,"1,704","57,741","10,474","2,258","72,177","12,732",12,"1,328",-441,-92,807,-533
29/09/2020 ,"1,718","58,865","10,659","2,067","73,309","12,726",14,"1,124",185,-191,"1,132",-6
30/09/2020 ,"1,731","60,320","10,353","1,964","74,368","12,317",13,"1,455",-306,-103,"1,059",-409
01/10/2020 ,"1,737","61,444","10,545","1,795","75,521","12,340",6,"1,124",192,-169,"1,153",23
02/10/2020 ,"1,740","62,279","10,496","2,104","76,619","12,600",3,835,-49,309,"1,098",260
03/10/2020 ,"1,743","63,286","10,652","2,103","77,784","12,755",3,"1,007",156,-1,"1,165",155
04/10/2020 ,"1,761","64,319","11,091","2,043","79,214","13,134",18,"1,033",439,-60,"1,430",379
05/10/2020 ,"1,772","65,295","10,912","2,057","80,036","12,969",11,976,-179,14,822,-165
06/10/2020 ,"1,806","66,315","10,787","2,135","81,043","12,922",34,"1,020",-125,78,"1,007",-47
07/10/2020 ,"1,819","67,310","10,807","2,447","82,383","13,254",13,995,20,312,"1,340",332
08/10/2020 ,"1,838","68,352","10,717","2,485","83,392","13,202",19,"1,042",-90,38,"1,009",-52
09/10/2020 ,"1,860","69,203","10,746","2,555","84,364","13,301",22,851,29,70,972,99
10/10/2020 ,"1,877","70,487","10,698","2,555","85,617","13,253",17,"1,284",-48,0,"1,253",-48
11/10/2020 ,"1,901","71,549","10,863","2,693","87,006","13,556",24,"1,062",165,138,"1,389",303
12/10/2020 ,"1,922","72,633","10,814","2,805","88,174","13,619",21,"1,084",-49,112,"1,168",63
13/10/2020 ,"1,944","73,733","10,908","2,643","89,228","13,551",22,"1,100",94,-162,"1,054",-68
14/10/2020 ,"1,961","74,924","10,822","2,559","90,266","13,381",17,"1,191",-86,-84,"1,038",-170
15/10/2020 ,"1,984","75,974","10,636","2,743","91,337","13,379",23,"1,050",-186,184,"1,071",-2
16/10/2020 ,"2,008","76,956","10,498","2,920","92,382","13,418",24,982,-138,177,"1,045",39
17/10/2020 ,"2,032","78,062","10,591","2,671","93,356","13,262",24,"1,106",93,-249,974,-156
18/10/2020 ,"2,051","79,136","10,782","2,358","94,327","13,140",19,"1,074",191,-313,971,-122
19/10/2020 ,"2,064","80,261","10,325","2,603","95,253","12,928",13,"1,125",-457,245,926,-212
20/10/2020 ,"2,086","81,107","10,292","2,732","96,217","13,024",22,846,-33,129,964,96
21/10/2020 ,"2,105","82,178","10,273","2,661","97,217","12,934",19,"1,071",-19,-71,"1,000",-90
22/10/2020 ,"2,120","83,338","9,980","2,768","98,206","12,748",15,"1,160",-293,107,989,-186
23/10/2020 ,"2,138","84,430","9,604","2,986","99,158","12,590",18,"1,092",-376,218,952,-158
24/10/2020 ,"2,153","85,586","9,557","2,924","100,220","12,481",15,"1,156",-47,-62,"1,062",-109
25/10/2020 ,"2,164","86,815","9,151","2,861","100,991","12,012",11,"1,229",-406,-63,771,-469
26/10/2020 ,"2,185","87,977","8,960","2,775","101,897","11,735",21,"1,162",-191,-86,906,-277
27/10/2020 ,"2,195","89,060","8,743","2,680","102,678","11,423",10,"1,083",-217,-95,781,-312
28/10/2020 ,"2,211","90,157","8,438","2,716","103,522","11,154",16,"1,097",-305,36,844,-269
29/10/2020 ,"2,225","91,235","7,951","2,824","104,235","10,775",14,"1,078",-487,108,713,-379
30/10/2020 ,"2,239","92,312","7,457","2,839","104,847","10,296",14,"1,077",-494,15,612,-479
31/10/2020 ,"2,255","94,434","6,524","2,384","105,597","8,908",16,"2,122",-933,-455,750,"-1,388"
01/11/2020 ,"2,273","94,819","6,935","2,178","106,205","9,113",18,385,411,-206,608,205
02/11/2020 ,"2,291","95,876","7,312","1,750","107,229","9,062",18,"1,057",377,-428,"1,024",-51
03/11/2020 ,"2,300","96,902","6,844","1,800","107,846","8,644",9,"1,026",-468,50,617,-418
04/11/2020 ,"2,315","97,833","6,665","1,807","108,620","8,472",15,931,-179,7,774,-172
05/11/2020 ,"2,331","98,806","6,260","2,014","109,411","8,274",16,973,-405,207,791,-198
06/11/2020 ,"2,348","99,830","6,050","1,855","110,083","7,905",17,"1,024",-210,-159,672,-369
07/11/2020 ,"2,359","100,816","6,159","1,867","111,201","8,026",11,986,109,12,"1,118",121
08/11/2020 ,"2,366","101,791","6,338","1,532","112,027","7,870",7,975,179,-335,826,-156
09/11/2020 ,"2,377","102,844","6,050","1,472","112,743","7,522",11,"1,053",-288,-60,716,-348
10/11/2020 ,"2,391","104,144","5,724","1,497","113,756","7,221",14,"1,300",-326,25,"1,013",-301
11/11/2020 ,"2,403","105,117","5,161","1,662","114,343","6,823",12,973,-563,165,587,-398
12/11/2020 ,"2,414","106,189","4,878","1,693","115,174","6,571",11,"1,072",-283,31,831,-252
13/11/2020 ,"2,428","107,147","5,028","1,604","116,207","6,632",14,958,150,-89,"1,033",61
14/11/2020 ,"2,441","108,209","4,710","2,102","117,462","6,812",13,"1,062",-318,498,"1,255",180
15/11/2020 ,"2,448","109,181","4,952","2,046","118,627","6,998",7,972,242,-56,"1,165",186
16/11/2020 ,"2,455","110,221","4,420","2,537","119,633","6,957",7,"1,040",-532,491,"1,006",-41
17/11/2020 ,"2,459","111,096","4,355","2,761","120,671","7,116",4,875,-65,224,"1,038",159
18/11/2020 ,"2,470","111,948","4,619","2,781","121,818","7,400",11,852,264,20,"1,147",284
19/11/2020 ,"2,484","112,833","4,633","3,053","123,003","7,686",14,885,14,272,"1,185",286
20/11/2020 ,"2,501","113,739","4,616","3,387","124,243","8,003",17,906,-17,334,"1,240",317
21/11/2020 ,"2,515","114,863","5,323","3,121","125,822","8,444",14,"1,124",707,-266,"1,579",441
22/11/2020 ,"2,531","115,939","5,529","3,165","127,164","8,694",16,"1,076",206,44,"1,342",250
23/11/2020 ,"2,548","117,003","5,592","3,030","128,173","8,622",17,"1,064",63,-135,"1,009",-72
24/11/2020 ,"2,567","118,062","5,518","3,041","129,188","8,559",19,"1,059",-74,11,"1,015",-63
25/11/2020 ,"2,584","119,099","6,000","2,778","130,461","8,778",17,"1,037",482,-263,"1,273",219
26/11/2020 ,"2,597","120,287","5,876","2,765","131,525","8,641",13,"1,188",-124,-13,"1,064",-137
27/11/2020 ,"2,614","121,082","6,653","2,612","132,961","9,265",17,795,777,-153,"1,436",624
28/11/2020 ,"2,632","122,328","6,921","2,450","134,331","9,371",18,"1,246",268,-162,"1,370",106
29/11/2020 ,"2,652","123,163","7,608","2,339","135,762","9,947",20,835,687,-111,"1,431",576
30/11/2020 ,"2,671","124,078","7,823","2,289","136,861","10,112",19,915,215,-50,"1,099",165
01/12/2020 ,"2,689","125,102","7,937","2,191","137,919","10,128",18,"1,024",114,-98,"1,058",16
02/12/2020 ,"2,710","126,163","8,202","2,010","139,085","10,212",21,"1,061",265,-181,"1,166",84
03/12/2020 ,"2,734","127,136","8,155","2,213","140,238","10,368",24,973,-47,203,"1,153",156
04/12/2020 ,"2,757","128,051","8,073","2,389","141,270","10,462",23,915,-82,176,"1,032",94
05/12/2020 ,"2,779","129,067","8,623","2,161","142,630","10,784",22,"1,016",550,-228,"1,360",322
06/12/2020 ,"2,799","130,136","8,819","2,207","143,961","11,026",20,"1,069",196,46,"1,331",242
07/12/2020 ,"2,823","131,071","9,473","2,060","145,427","11,533",24,935,654,-147,"1,466",507
08/12/2020 ,"2,842","132,248","9,650","1,861","146,601","11,511",19,"1,177",177,-199,"1,174",-22
09/12/2020 ,"2,860","133,318","9,703","1,957","147,838","11,660",18,"1,070",53,96,"1,237",149
10/12/2020 ,"2,880","134,366","9,391","2,381","149,018","11,772",20,"1,048",-312,424,"1,180",112
11/12/2020 ,"2,902","135,545","9,078","2,725","150,250","11,803",22,"1,179",-313,344,"1,232",31
12/12/2020 ,"2,922","136,489","8,822","2,968","151,201","11,790",20,944,-256,243,951,-13
13/12/2020 ,"2,941","137,605","8,679","3,274","152,499","11,953",19,"1,116",-143,306,"1,298",163
14/12/2020 ,"2,963","138,988","8,994","3,120","154,065","12,114",22,"1,383",315,-154,"1,566",161
15/12/2020 ,"2,990","140,225","8,643","3,264","155,122","11,907",27,"1,237",-351,144,"1,057",-207
16/12/2020 ,"3,010","141,365","8,263","3,705","156,343","11,968",20,"1,140",-380,441,"1,221",61
17/12/2020 ,"3,027","142,741","7,851","4,414","158,033","12,265",17,"1,376",-412,709,"1,690",297
18/12/2020 ,"3,048","143,959","7,673","4,940","159,620","12,613",21,"1,218",-178,526,"1,587",348
19/12/2020 ,"3,068","145,066","8,112","5,273","161,519","13,385",20,"1,107",439,333,"1,899",772
20/12/2020 ,"3,087","146,958","8,057","5,009","163,111","13,066",19,"1,892",-55,-264,"1,592",-319
21/12/2020 ,"3,097","148,308","8,366","4,806","164,577","13,172",10,"1,350",309,-203,"1,466",106
22/12/2020 ,"3,115","149,691","8,620","4,462","165,888","13,082",18,"1,383",254,-344,"1,311",-90
23/12/2020 ,"3,130","151,122","8,643","4,947","167,842","13,590",15,"1,431",23,485,"1,954",508
24/12/2020 ,"3,146","152,491","8,833","5,305","169,775","14,138",16,"1,369",190,358,"1,933",548
25/12/2020 ,"3,167","154,242","8,720","5,742","171,871","14,462",21,"1,751",-113,437,"2,096",324
26/12/2020 ,"3,182","156,798","9,439","4,510","173,929","13,949",15,"2,556",719,"-1,232","2,058",-513
