Tanggal,Target Vaksinasi,Vaksinasi 1,Vaksinasi 2,Persentase 1,Persentase 2
22 May 2021,3000689,2316046,1644686,0.771838067857082,0.548102785726878
23 May 2021,3000689,2324594,1656848,0.774686746943785,0.552155854871998
24 May 2021,3000689,2329514,1663767,0.776326370376937,0.554461658639066
25 May 2021,3000689,2373232,1704615,0.79089569095631,0.568074532215768
26 May 2021,3000689,2398089,1732164,0.799179455118474,0.57725542367103
27 May 2021,3000689,2429534,1770292,0.809658715048444,0.589961838764364
28 May 2021,3000689,2432537,1773251,0.810659485204898,0.590947945621822
29 May 2021,3000689,2432537,1773251,0.810659485204898,0.590947945621822
30 May 2021,3000689,2432561,1775331,0.810667483367986,0.591641119756163
31 May 2021,3000689,2519794,1797154,0.839738473397276,0.598913782801217
1 June 2021,3000689,2519921,1804342,0.839780797010287,0.601309232646236
2 June 2021,3000689,2520101,1829911,0.839840783233451,0.609830275646693
3 June 2021,3000689,2534146,1834501,0.844521374924226,0.611359924337377
4 June 2021,3000689,2575984,1841626,0.85846417272833,0.613734379004289
5 June 2021,3000689,2583609,1841757,0.861005255792919,0.61377803564448
6 June 2021,3000689,2585466,1841775,0.861624113661896,0.613784034266797
7 June 2021,3000689,2607761,1845698,0.869054073914358,0.615091400674978
8 June 2021,3000689,2680631,1845698,0.893338496591949,0.615091400674978
9 June 2021,3000689,2728441,1845698,0.90927150397792,0.615091400674978
10 June 2021,3000689,2790253,1858410,0.929870773012465,0.619327761057544
11 June 2021,3000689,2872171,1861571,0.957170503174438,0.620381185787664
12 June 2021,3000689,2880882,1861918,0.960073503118784,0.620496825895653
13 June 2021,3000689,2880926,1861955,0.960088166417779,0.620509156397081
14 June 2021,3000689,2965825,1867142,0.988381335086709,0.622237759394592
15 June 2021,3000689,3041573,1871327,1.01362487082133,0.623632439083157
16 June 2021,3000689,3131651,1875171,1.04364397643341,0.624913478204506
17 June 2021,3000689,3131651,1875171,1.04364397643341,0.624913478204506
18 June 2021,8815157,3239251,1880997,0.367463789924558,0.213382132615449
19 June 2021,8815157,3344254,1886323,0.379375432564616,0.213986319245363
20 June 2021,8815157,3384704,1886757,0.383964119981073,0.214035552628274
21 June 2021,8815157,3399845,1887255,0.385681729775204,0.21409204623355
22 June 2021,8815157,3513012,1891658,0.398519504530662,0.214591526844048
23 June 2021,8815157,3593159,1894808,0.407611458309818,0.214948865913562
24 June 2021,8815157,3753451,1898567,0.42579513898618,0.215375290536516
25 June 2021,8815157,3884096,1902333,0.440615635093056,0.21580250924629
26 June 2021,8815157,4018256,1907281,0.45583487622512,0.216363815187863
27 June 2021,8815157,4077736,1911230,0.46258234538534,0.216811793595962
28 June 2021,8815157,4105009,1912914,0.465676221081485,0.217002828196934
29 June 2021,8815157,4232962,1917662,0.480191334085145,0.217541445943617
30 June 2021,8815157,4365649,1920245,0.495243476661845,0.217834463980619
1 July 2021,8815157,4498251,1924850,0.510285976755717,0.218356859667956
2 July 2021,8815157,4604297,1929114,0.522315938332125,0.218840571983006
3 July 2021,8815157,4682012,1931805,0.531132003661421,0.219145841645248
4 July 2021,8815157,4800657,1935269,0.54459120807491,0.219538801180739
5 July 2021,8815157,4827994,1935857,0.547692343993419,0.219605504473715
6 July 2021,8815157,4909676,1938103,0.556958429668354,0.219860292902327
